game_key,steam_appid,name,type,is_free,required_age,initial_price,price_tier,controller_support,dlc_count,achievements_total,content_depth_tier,language_count,price_currency,is_premium
6001,936500,Transport INC,game,0,0,209.0,200-299,0,2,31,high,11,THB,0
6002,966190,Lost Marbles,game,0,0,220.0,200-299,1,0,73,very high,1,THB,0
6003,1029650,יום פתוח (Open Day),game,0,0,239.0,200-299,1,0,46,high,1,THB,0
6004,1125390,Atrio: The Dark Wild,game,0,0,289.0,200-299,1,0,22,medium,10,THB,0
6005,1140170,Arietta of Spirits,game,0,0,239.0,200-299,1,1,30,high,11,THB,0
6006,1146970,My Vow to My Liege,game,0,0,189.0,100-199,0,1,35,high,2,THB,0
6007,1152340,Book of Travels,game,0,0,105.0,100-199,0,2,83,very high,1,THB,0
6008,1163870,Mecha Knights: Nightmare,game,0,0,330.0,300-499,0,2,0,low,1,THB,0
6009,1238880,Battlefield™ Hardline,game,0,18,1099.0,800+,1,1,62,very high,12,THB,1
6010,1334000,Wordle,game,0,0,718.75,500-799,1,4,6,medium,103,THB,1
6011,1260590,Hadean Tactics,game,0,0,400.0,300-499,1,1,82,very high,12,THB,1
6012,1336160,Chupa Chupa VR,game,0,0,199.0,200-299,0,2,36,high,11,THB,0
6013,1348750,Hearts of the Dungeon List,game,0,0,219.0,200-299,1,0,46,high,1,THB,0
6014,1368120,Messy Room Simulator,game,0,0,115.0,100-199,0,0,15,medium,2,THB,0
6015,1268370,holedown,game,0,0,220.0,200-299,1,1,5,low,4,THB,0
6016,1389560,Paint Girl,game,0,0,45.0,1-99,0,2,45,high,3,THB,0
6017,1450180,Haunt Chaser,game,0,0,239.0,200-299,0,0,20,medium,9,THB,0
6018,1457990,Yuligans: Christmas is Coming!,game,1,0,0.0,Free,0,0,0,low,1,FREE,0
6019,1502800,Escape Machine City: Airborne,game,0,0,115.0,100-199,0,0,6,low,10,THB,0
6020,1508460,Annalynn,game,0,0,99.0,100-199,1,0,13,medium,1,THB,0
6021,1525320,Dadish 2,game,0,0,85.0,1-99,1,0,9,low,1,THB,0
6022,1541790,Punk Wars,game,0,0,289.0,200-299,0,3,30,high,7,THB,0
6023,1551540,Tower of Ardia,game,0,0,289.0,200-299,0,0,0,low,3,THB,0
6024,1562260,Camping Simulator: The Squad,game,0,0,99.0,100-199,1,0,14,medium,8,THB,0
6025,1575640,SOL CRESTA,game,0,0,499.0,500-799,1,4,50,very high,2,THB,1
6026,1598210,Milli & Greg,game,0,0,99.0,100-199,1,0,13,medium,2,THB,0
6027,1599560,Wanderer,game,0,16,469.0,300-499,0,3,50,very high,6,THB,1
6028,1681970,神都不良探 Underdog Detective,game,0,0,159.0,100-199,0,1,33,high,4,THB,0
6029,1691420,START AGAIN: a prologue,game,0,0,199.0,200-299,0,1,0,low,2,THB,0
6030,1771440,Bomb Club Deluxe,game,0,0,165.0,100-199,0,1,16,medium,2,THB,0
6031,1824080,LUL inc.,game,0,0,99.0,100-199,0,0,15,medium,1,THB,0
6032,1904860,Legends of Kingdom Rush,game,0,0,239.0,200-299,0,0,84,very high,14,THB,0
6033,1929900,Touhou: Dreamland of Infinity,game,0,0,289.0,200-299,0,1,20,medium,2,THB,0
6034,2235610,Sakura Mirror,game,0,0,23.0,1-99,0,1,12,medium,14,THB,0
6035,640340,Serious Sam: Tormental,game,0,0,259.0,200-299,1,0,49,high,1,THB,0
6036,364210,Sierra Ops - Space Strategy Visual Novel,game,0,0,315.0,300-499,1,4,31,high,1,THB,0
6037,763100,Lumberjack Simulator,game,0,0,269.0,200-299,1,4,0,medium,3,THB,0
6038,798490,Othercide,game,0,0,690.0,500-799,1,3,26,high,12,THB,1
6039,858260,Until You Fall,game,0,0,499.0,500-799,0,1,47,high,9,THB,1
6040,892990,Sable's Grimoire: A Dragon's Treasure,game,0,0,119.0,100-199,1,2,16,medium,1,THB,0
6041,960030,Deca,game,0,18,279.0,200-299,0,0,2,low,1,THB,0
6042,1848330,Clarent Saga: Chronicles,game,0,0,220.0,200-299,0,0,0,low,1,THB,0
6043,968760,Blood Card 2: Dark Mist,game,0,0,239.0,200-299,0,0,28,medium,6,THB,0
6044,1018800,DEEEER Simulator: Your Average Everyday Deer Game,game,0,0,239.0,200-299,1,2,17,medium,11,THB,0
6045,1020440,Doodle Creatures,game,0,0,209.0,200-299,1,0,10,low,13,THB,0
6046,1194930,Blackthorn Arena,game,0,0,495.0,300-499,0,3,29,high,10,THB,1
6047,1214520,Pro Gymnast Simulator,game,0,0,239.0,200-299,0,0,13,medium,10,THB,0
6048,1223870,Sakura Hime 2,game,0,0,88.0,1-99,0,1,13,medium,8,THB,0
6049,1227650,Bang-On Balls: Chronicles,game,0,0,495.0,300-499,1,2,26,high,11,THB,1
6050,1228600,Blankspace,game,0,0,205.0,200-299,0,3,33,high,1,THB,0
6051,1394460,RXC - Rally Cross Challenge,game,0,0,400.0,300-499,1,0,0,low,1,THB,1
6052,1435670,Song of Farca,game,0,0,350.0,300-499,0,1,28,high,3,THB,0
6053,1475150,White Rabbit,game,0,0,88.0,1-99,0,0,20,medium,29,THB,0
6054,1580570,Blokker,game,0,0,45.0,1-99,0,0,10,low,1,THB,0
6055,1608660,Overhaul,game,0,0,209.0,200-299,1,1,29,high,2,THB,0
6056,1618230,恋爱关系/Romance,game,0,0,85.0,1-99,0,3,44,high,4,THB,0
6057,1643100,Noun Town: VR Language Learning,game,0,0,400.0,300-499,0,0,36,high,10,THB,0
6058,1648760,subROV : Underwater Discoveries,game,0,0,400.0,300-499,1,1,0,low,1,THB,1
6059,1676740,Animus: Revenant,game,0,0,239.0,200-299,1,0,26,medium,5,THB,0
6060,1750110,Frenzy VR,game,0,0,259.0,200-299,0,0,0,low,1,THB,0
6061,1791710,Spacefolk City,game,0,0,400.0,300-499,0,0,0,low,12,THB,1
6062,1990820,Z-Warp,game,0,0,139.0,100-199,1,0,16,medium,2,THB,0
6063,2027000,I commissioned some bees 2,game,0,0,47.0,1-99,0,0,11,medium,11,THB,0
6064,2063050,TVs: The Awakening,game,1,0,0.0,Free,1,0,0,low,1,FREE,0
6065,2147050,Jumping Cat,game,0,0,69.0,1-99,0,0,9,low,14,THB,0
6066,2186240,Saint Kotar: The Crawling Man,game,0,0,47.0,1-99,1,0,10,low,1,THB,0
6067,1124560,Fallen Angel,game,0,0,239.0,200-299,1,1,51,high,9,THB,0
6068,1162960,Angry Video Game Nerd I & II Deluxe,game,0,0,105.0,100-199,1,1,20,medium,7,THB,0
6069,1164690,Wigmund,game,0,0,239.0,200-299,1,0,12,medium,1,THB,0
6070,1247020,Lovingly Evil,game,0,0,219.0,200-299,0,0,12,medium,1,THB,0
6071,1259800,MXGP 2020 - The Official Motocross Videogame,game,0,0,1059.0,800+,1,0,46,high,6,THB,1
6072,1267260,Yumeutsutsu Re:After,game,0,0,899.0,800+,0,0,12,medium,5,THB,1
6073,1279920,Cobra Kai: The Karate Kid Saga Continues,game,0,0,289.0,200-299,0,0,47,high,1,THB,0
6074,1346980,Lawnmower Game: Next Generation,game,0,0,115.0,100-199,0,0,13,medium,1,THB,0
6075,1428820,Wordle 3,game,0,0,718.75,500-799,0,0,30,medium,103,THB,1
6076,1487560,StarCrawlers Chimera,game,0,0,289.0,200-299,1,0,72,very high,1,THB,0
6077,1501650,Whisperwind,game,0,0,99.0,100-199,0,0,6,low,2,THB,0
6078,1509080,Nox Archaist,game,0,0,289.0,200-299,0,4,0,medium,1,THB,0
6079,1511860,Swallow the Sea,game,1,0,0.0,Free,1,1,10,medium,1,FREE,0
6080,1578160,Bots Are Stupid,game,0,0,275.0,200-299,0,1,32,high,1,THB,0
6081,1584750,Cloud Cutter,game,0,0,159.0,100-199,1,0,34,high,2,THB,0
6082,1601860,Warp Factory,game,0,0,189.0,100-199,0,0,19,medium,1,THB,0
6083,1608550,Firegirl: Hack 'n Splash Rescue DX,game,0,0,269.0,200-299,1,0,21,medium,11,THB,0
6084,1610470,MXGP 2021 - The Official Motocross Videogame,game,0,0,1380.0,800+,1,1,50,high,6,THB,1
6085,1662840,PARQUET,game,0,0,349.0,300-499,0,0,9,low,4,THB,0
6086,1680500,Roar of Revenge,game,0,0,115.0,100-199,0,0,10,low,7,THB,0
6087,1731460,LEGO® Brawls,game,0,0,275.0,200-299,1,0,18,medium,15,THB,0
6088,1797940,Halloween Chronicles: Behind the Door Collector's Edition,game,0,0,400.0,300-499,0,0,0,low,1,THB,1
6089,1806420,Do U Copy?,game,0,0,219.0,200-299,0,0,0,low,5,THB,0
6090,1828900,Stickit,game,0,0,63.0,1-99,0,0,28,medium,1,THB,0
6091,1863750,挂机神话,game,0,0,47.0,1-99,0,0,20,medium,1,THB,0
6092,1934180,Hot“Sento Girls”and love,game,0,0,290.88,200-299,0,0,10,low,2,THB,0
6093,2162070,Ooglians,game,0,0,47.0,1-99,1,0,0,low,1,THB,0
6094,254370,Aquanox Deep Descent,game,0,0,559.0,500-799,1,2,39,high,11,THB,1
6095,281080,Reversion - The Return (Last Chapter),game,0,0,220.0,200-299,0,1,36,high,10,THB,0
6096,515960,Martha Is Dead,game,0,17,379.0,300-499,1,2,22,high,13,THB,0
6097,948640,Wizardry: Labyrinth of Lost Souls,game,0,0,239.0,200-299,0,1,37,high,2,THB,0
6098,958930,Ricky Recharge,game,0,0,115.0,100-199,1,0,48,high,1,THB,0
6099,996180,Cryptofall: Investor simulator,game,0,0,115.0,100-199,0,0,0,low,2,THB,0
6100,1078760,Motorcycle Mechanic Simulator 2021,game,0,0,400.0,300-499,0,2,30,high,14,THB,1
6101,1132980,There Is No Light: Enhanced Edition,game,0,0,400.0,300-499,1,1,39,high,11,THB,0
6102,1148560,Buccaneers!,game,0,0,269.0,200-299,1,1,17,medium,3,THB,0
6103,1178140,Pixel Ripped 1995,game,0,0,289.0,200-299,1,3,18,high,8,THB,0
6104,1195360,Re:Turn - One Way Trip,game,0,0,209.0,200-299,1,1,25,medium,6,THB,0
6105,1213670,Solitaire Forever II,game,1,0,0.0,Free,1,0,21,medium,16,FREE,0
6106,1217830,Khimera: Puzzle Island,game,0,0,115.0,100-199,1,1,24,medium,2,THB,0
6107,1236780,AKIBA'S TRIP: Hellbound & Debriefed,game,0,0,400.0,300-499,1,0,55,high,5,THB,0
6108,1247190,Family Mysteries 2: Echoes of Tomorrow,game,0,0,315.0,300-499,0,0,24,medium,9,THB,0
6109,1248060,Realpolitiks II,game,0,0,459.0,300-499,0,2,51,very high,7,THB,1
6110,1250900,Project Beril / 贝丽尔养成计划,game,0,0,189.0,100-199,0,5,16,high,1,THB,0
6111,1257200,False Myth,game,0,0,319.0,300-499,0,0,0,low,3,THB,1
6112,1275350,Ninja Kiwi Archive,game,1,0,0.0,Free,0,0,0,low,1,FREE,0
6113,1364390,Animaze by FaceRig,game,1,0,0.0,Free,0,7,0,high,6,FREE,0
6114,1421120,Montezuma's Revenge,game,0,0,199.0,200-299,1,0,9,low,1,THB,0
6115,1481080,DRAMAtical Murder,game,0,0,400.0,300-499,0,0,18,medium,3,THB,1
6116,1483370,The Use of Life,game,0,0,400.0,300-499,1,0,35,high,4,THB,1
6117,1514370,Laid-Back Camp - Virtual - Fumoto Campsite,game,0,0,610.0,500-799,0,0,9,low,6,THB,1
6118,1516080,That Time I Got Reincarnated as an Orc,game,0,0,279.0,200-299,0,0,0,low,3,THB,0
6119,1573280,WW2 Rebuilder,game,0,0,400.0,300-499,1,1,69,very high,11,THB,0
6120,1574240,Dread Delusion,game,0,0,699.0,500-799,1,1,59,very high,1,THB,1
6121,1579260,Disc Golf Valley VR,game,0,0,289.0,200-299,0,0,6,low,1,THB,0
6122,1591150,Paranormal Detective: Escape from the 90's,game,0,0,209.0,200-299,0,1,14,medium,1,THB,0
6123,1632670,Cave Guessers,game,0,0,95.0,1-99,0,0,0,low,9,THB,0
6124,1642790,Deepening Fire,game,0,0,259.0,200-299,1,0,59,high,3,THB,0
6125,1720090,Aspire: Ina's Tale,game,0,0,275.0,200-299,0,2,19,medium,10,THB,0
6126,1749980,SOMNI,game,0,0,239.0,200-299,1,0,15,medium,1,THB,0
6127,1792890,Dreamy Planet,game,0,0,139.0,100-199,0,1,6,medium,4,THB,0
6128,1824150,Tales of Terror,game,0,0,105.0,100-199,0,0,36,high,18,THB,0
6129,1951560,Heart of Battle,game,0,0,155.0,100-199,0,0,26,medium,1,THB,0
6130,1958600,Barro F22,game,0,0,115.0,100-199,0,2,21,high,102,THB,0
6131,1985360,Cute Cats 3,game,0,0,23.0,1-99,0,1,22,medium,103,THB,0
6132,1988540,The Zachtronics Solitaire Collection,game,0,0,220.0,200-299,0,0,24,medium,1,THB,0
6133,384960,Vengeance,game,0,0,159.0,100-199,0,1,10,medium,1,THB,0
6134,437440,Lord of Rigel,game,0,0,400.0,300-499,0,1,185,very high,1,THB,1
6135,683770,Rover Builder,game,0,0,220.0,200-299,0,0,13,medium,8,THB,0
6136,799640,Dungeon Munchies,game,0,0,289.0,200-299,1,4,35,high,9,THB,0
6137,861330,Dungeon Deathball,game,0,0,239.0,200-299,1,0,84,very high,1,THB,0
6138,875310,LIBERATED,game,0,0,400.0,300-499,1,4,18,high,9,THB,0
6139,895480,Fates of Ort,game,0,0,315.0,300-499,1,1,9,medium,1,THB,0
6140,956030,Creaks,game,0,0,399.0,300-499,0,1,28,high,18,THB,1
6141,1108000,Children of Silentown,game,0,0,400.0,300-499,1,2,26,high,14,THB,1
6142,1111460,小白兔电商~Bunny e-Shop,game,0,0,199.0,200-299,1,4,89,very high,2,THB,0
6143,1232580,Knock on the Coffin Lid,game,0,0,319.0,300-499,0,2,226,very high,9,THB,0
6144,1244950,Battletoads,game,0,0,289.0,200-299,1,0,61,very high,11,THB,0
6145,1248350,Nyanco Channel,game,0,0,69.0,1-99,0,3,1,medium,3,THB,0
6146,1266370,Real Life Plus Ver. Kaname Komatsuzaki,game,0,0,275.0,200-299,0,0,17,medium,1,THB,0
6147,1299710,Return of the Phantom,game,0,0,139.0,100-199,0,0,0,low,1,THB,0
6148,1336340,-SPROUT-,game,0,0,119.0,100-199,1,0,20,medium,8,THB,0
6149,1391450,Case 00: The Cannibal Boy,game,0,0,69.0,1-99,0,0,3,low,4,THB,0
6150,1407450,The World of Kungfu: Dragon and Eagle,game,0,0,269.0,200-299,1,1,81,very high,4,THB,0
6151,1424630,CosmoDreamer,game,0,0,179.0,100-199,0,0,40,high,4,THB,0
6152,1436990,Feign,game,0,0,115.0,100-199,0,3,26,high,14,THB,0
6153,1483940,Slide Stories: Bonds & Memories,game,0,0,220.0,200-299,0,0,14,medium,1,THB,0
6154,1544000,For a Vast Future,game,0,0,220.0,200-299,1,1,24,medium,1,THB,0
6155,1544580,Would you like to run an idol café?,game,0,0,189.0,100-199,0,0,12,medium,2,THB,0
6156,1639790,Northern Journey,game,0,0,209.0,200-299,0,0,0,low,1,THB,0
6157,1655940,Earth's Shadow,game,0,0,239.0,200-299,1,0,8,low,1,THB,0
6158,1711520,Great Marble Adventure,game,0,0,295.0,200-299,1,1,82,very high,1,THB,0
6159,1724120,ASTRONAUTILUS,game,0,0,189.0,100-199,0,0,35,high,1,THB,0
6160,1724130,QUICKDRAW,game,0,0,95.0,1-99,0,1,8,medium,1,THB,0
6161,1801640,精神病大王花 Flowering Abyss,game,0,0,159.0,100-199,0,0,0,low,1,THB,0
6162,1832070,Desperate Vlad,game,0,0,239.0,200-299,0,0,37,high,2,THB,0
6163,1933700,Smilemo,game,0,0,189.0,100-199,0,0,14,medium,6,THB,0
6164,2022090,HeatStroke,game,0,0,47.0,1-99,0,1,1,low,1,THB,0
6165,2062210,Watamari Part1 - A Match Made in Heaven,game,0,0,385.0,300-499,0,1,11,medium,3,THB,0
6166,2215260,Scott Pilgrim vs. The World™: The Game – Complete Edition,game,0,0,400.0,300-499,0,0,19,medium,5,THB,0
6167,349470,Drift Stage,game,0,0,220.0,200-299,0,1,0,low,1,THB,0
6168,1144770,SLUDGE LIFE,game,0,0,315.0,300-499,1,1,14,medium,13,THB,0
6169,791240,Lumote: The Mastermote Chronicles,game,0,0,289.0,200-299,1,2,13,medium,17,THB,0
6170,975510,Panzer Paladin,game,0,0,289.0,200-299,1,3,30,high,7,THB,0
